state,million_miles_annually,drvr_fatl_col_bmiles,perc_fatl_speed,perc_fatl_alcohol,perc_fatl_1st_time,cluster,pca_1,pca_2
Alabama,64914,18.8,39,30,80,0,0.5042164547167791,0.42336566579651297
Alaska,4593,18.1,41,25,94,0,-1.4660265379022328,-0.21624428016797936
Arizona,59575,18.6,35,28,96,0,-0.8721981548477513,0.0779906303487334
Arkansas,32953,22.4,18,26,95,1,-0.9612647485872956,1.9070764937477778
California,320784,12.0,35,28,89,2,3.3273479389964797,-1.3743459476108497
Colorado,46606,13.6,37,28,95,0,-0.672723500359862,-0.9342210019606373
Connecticut,31197,10.8,46,36,82,0,0.2621849193598569,-1.5295622199420458
Delaware,9028,16.2,38,30,99,0,-1.667490797099342,-0.5772122888785758
District of Columbia,3568,5.9,34,27,100,0,-1.0861876412277542,-2.3142855124975457
Florida,191855,17.9,21,29,94,1,1.2681331424557065,0.6364233054428825
Georgia,108454,15.6,19,25,93,1,0.5346503045287211,0.49816875834033475
Hawaii,10066,17.5,54,41,87,0,-1.036506699038293,-0.8812725999228401
Idaho,15937,15.3,36,29,98,0,-1.393783349446153,-0.603802533853284
Illinois,103234,12.8,36,34,96,0,-0.001840400840765225,-1.1568314824416217
Indiana,76485,14.5,25,29,95,1,-0.09616297608689853,-0.08867429903499652
Iowa,31274,15.7,17,25,87,1,0.16816439851082804,0.9789946933469702
Kansas,30021,17.8,27,24,85,1,-0.027456438758132928,0.844399689548515
Kentucky,48061,21.4,19,23,76,1,0.9417056108941352,2.294382046672145
Louisiana,46513,20.5,35,33,98,0,-1.3264775391831007,0.3907687548812034
Maine,14248,15.1,38,30,84,0,-0.2091924620019214,-0.2711623164621326
Maryland,56221,12.5,34,32,99,0,-0.7731288957706756,-1.117389759014253
Massachusetts,54792,8.2,23,35,80,1,1.406919663779521,-0.6019952195920528
Michigan,94754,14.1,24,28,77,1,1.7642362072996978,0.49309266590815237
Minnesota,56685,9.6,23,29,88,1,0.6348814216365134,-0.6189408831410305
Mississippi,38851,17.6,15,31,100,1,-0.9632011419990554,0.993632300985286
Missouri,68789,16.1,43,34,84,0,0.27659842664736595,-0.47682521378263204
Montana,11660,21.4,39,44,85,0,-0.7464564042236992,0.8326551453132854
Nebraska,19093,14.9,13,35,90,1,-0.10434624586426995,0.9852347483849265
Nevada,24189,14.7,37,32,99,0,-1.3670845760550057,-0.8270337168525982
New Hampshire,12720,11.6,35,30,83,0,0.1477653624185056,-0.715988842677848
New Jersey,73094,11.2,16,28,78,1,1.775485100816055,0.4289443219593094
New Mexico,25650,18.4,19,27,98,1,-1.0868346250250738,0.9957272749013713
New York,127726,12.3,32,29,80,1,1.8311486268282329,-0.4929976985865884
North Carolina,103772,16.8,39,31,81,0,1.0123135692089567,-0.05703289807089893
North Dakota,9131,23.9,23,42,86,1,-0.6612855376496117,2.243865775741154
Ohio,111990,14.1,28,34,82,1,1.4409554354642786,0.047291218961392795
Oklahoma,47464,19.9,32,29,94,0,-0.8560424786178545,0.5964145157340086
Oregon,33373,12.8,33,26,90,0,-0.250759970493042,-0.6469584631407453
Pennsylvania,99204,18.2,50,31,88,0,0.0021886520337494352,-0.6933497723489244
Rhode Island,7901,11.1,34,38,79,0,0.4968551917891135,-0.6025090573322299
South Carolina,48730,23.9,38,41,81,0,-0.07754780960474225,1.4437249395860126
South Dakota,9002,19.4,31,33,86,0,-0.561237988041845,0.9068211211271314
Tennessee,70751,19.5,21,29,81,1,0.8487738998175962,1.5999155529562359
Texas,237440,19.4,40,38,87,2,1.9169871530814695,-0.061553315006373885
Utah,26222,11.3,43,16,96,0,-0.9994490285533205,-1.7334751356309397
Vermont,7141,13.6,30,30,95,0,-0.9932946648429398,-0.44363052214391246
Virginia,80974,12.7,19,27,88,1,0.8252809480263186,0.16951663241797021
Washington,56955,10.6,42,33,86,0,0.323645030009876,-1.5090661506144927
West Virginia,18963,23.8,34,28,87,0,-0.8723686492949642,1.5079665039155257
Wisconsin,58554,13.8,36,33,84,0,0.45460051944970886,-0.4722228684621346
Wyoming,9245,17.4,42,32,90,0,-1.0346887163538638,-0.27778875684667353
