Mean_Nx,Mean_Ny,Mean_Nz,Mean_Curvature,AABB_Width,AABB_Height,AABB_Depth,OBB_Width,OBB_Height,OBB_Depth,Major_Axis_Horizontal,Major_Axis_Vertical
1.538614324322481741e-01,6.189657327453983171e-02,5.018920118732322910e-01,9.019328113744635306e-03,1.422003060579299927e-01,2.012879438698291779e-01,2.630000412464141846e-01,2.923758725582461526e-01,2.387068110502333640e-01,3.058476733523380342e-01,3.058476733523380342e-01,2.387068110502333640e-01
1.460211221313327534e-01,6.702934020135814519e-02,5.200174355796727266e-01,8.919189075753617899e-03,1.176454052329063416e-01,2.007949277758598328e-01,2.630000412464141846e-01,2.540130440460093286e-01,2.362265785751461178e-01,2.933813305414357253e-01,2.933813305414357253e-01,2.362265785751461178e-01
1.404330475490774000e-01,7.677546652337947919e-02,5.521724539504744289e-01,9.554078532879851926e-03,1.051397323608398438e-01,2.002200223505496979e-01,4.499998688697814941e-02,1.089589275158261705e-01,2.007537893222893222e-01,6.792910514868444327e-02,2.007537893222893222e-01,6.792910514868444327e-02
1.339231718142966931e-01,7.162909512930457079e-02,5.354836719141158330e-01,9.533978613552028872e-03,1.027196869254112244e-01,2.002200223505496979e-01,4.600000381469726562e-02,1.039827028593511837e-01,2.016233800316514224e-01,6.159344414570055992e-02,2.016233800316514224e-01,6.159344414570055992e-02
1.414778182067389367e-01,7.726501005730790350e-02,5.504935845647025427e-01,9.310117255828614935e-03,1.172518245875835419e-01,2.025201208889484406e-01,5.700001120567321777e-02,1.412917216898186834e-01,2.184995313209681100e-01,8.824993017894955383e-02,2.184995313209681100e-01,8.824993017894955383e-02
1.352063585579736105e-01,7.113340053572299315e-02,5.368000853128375160e-01,8.673988465694932801e-03,1.174263842403888702e-01,2.026352435350418091e-01,5.599999427795410156e-02,1.356453521642039806e-01,2.130069749715719218e-01,8.786509565048106207e-02,2.130069749715719218e-01,8.786509565048106207e-02
1.398998815982688548e-01,6.750353092802600929e-02,5.109372412724223489e-01,8.982526221139555678e-03,7.786565460264682770e-02,1.970739252865314484e-01,2.650000154972076416e-01,1.407124182381050970e-01,2.332653658136348007e-01,2.832773322432529661e-01,2.832773322432529661e-01,1.407124182381050970e-01
1.573706309485672916e-01,6.439221361552509293e-02,5.097741716616235319e-01,8.884316768098332942e-03,7.788712903857231140e-02,1.972744986414909363e-01,4.299998283386230469e-02,7.981255384311447543e-02,1.992162431845472537e-01,5.292750061656759097e-02,1.992162431845472537e-01,5.292750061656759097e-02
1.296353654319664095e-01,7.684775026415431587e-02,5.254380941891239054e-01,9.075110269876125735e-03,1.225251033902168274e-01,2.026738896965980530e-01,4.699999094009399414e-02,1.475980406881806650e-01,2.213964833904845664e-01,8.232011226204227761e-02,2.213964833904845664e-01,8.232011226204227761e-02
1.451895969994870250e-01,7.639927876682273133e-02,5.589909109878489213e-01,8.707975458301209226e-03,1.239090785384178162e-01,2.020862698554992676e-01,4.600000381469726562e-02,1.485598308239242660e-01,2.211965581410135495e-01,8.153034265625735966e-02,2.211965581410135495e-01,8.153034265625735966e-02
1.208252768480376771e-01,7.559271898025952952e-02,5.383058546213616014e-01,9.335928797782869562e-03,7.774029020220041275e-02,1.969858296215534210e-01,4.499998688697814941e-02,8.206197116532076841e-02,1.975285161769851916e-01,6.175425769175146851e-02,1.975285161769851916e-01,6.175425769175146851e-02
