Mean_Nx,Mean_Ny,Mean_Nz,Mean_Curvature,AABB_Width,AABB_Height,AABB_Depth,OBB_Width,OBB_Height,OBB_Depth,Major_Axis_Horizontal,Major_Axis_Vertical
1.525501843338669117e-01,6.868150414175759610e-02,5.645050013228308794e-01,8.987530113829252099e-03,7.836967147886753082e-02,1.967886164784431458e-01,4.500001668930053711e-02,8.190669380300727442e-02,1.995685257400432455e-01,5.152924447333762092e-02,1.995685257400432455e-01,5.152924447333762092e-02
1.601052387197520743e-01,6.952763385969523702e-02,5.479019607436341754e-01,8.685793349617302803e-03,7.921946235001087189e-02,1.970739252865314484e-01,4.300001263618469238e-02,8.532096910786741983e-02,2.013634050298630518e-01,5.496031708412640882e-02,2.013634050298630518e-01,5.496031708412640882e-02
1.310616072532253817e-01,7.172460069914517178e-02,5.479336339652848276e-01,9.153289090187801888e-03,9.576266258955001831e-02,1.974704936146736145e-01,4.499998688697814941e-02,9.909770074750084978e-02,2.013719180587694169e-01,5.877853754804418518e-02,2.013719180587694169e-01,5.877853754804418518e-02
1.432219882748803075e-01,6.666914167046991690e-02,5.434376834111166454e-01,8.880594795289971366e-03,9.645297378301620483e-02,2.002200223505496979e-01,4.600000381469726562e-02,1.030007342251051672e-01,2.058675410013979801e-01,6.002801218717102039e-02,2.058675410013979801e-01,6.002801218717102039e-02
1.411400696441760805e-01,7.314940583272896979e-02,5.569808932511386423e-01,8.772242592698464500e-03,7.722454611212015152e-02,1.978604532778263092e-01,4.500001668930053711e-02,8.372164285145809737e-02,2.024790215889873402e-01,6.302310374842090557e-02,2.024790215889873402e-01,6.302310374842090557e-02
1.481862751511905107e-01,6.897872821276264388e-02,5.387661250193246376e-01,8.768052225297163008e-03,7.654094044119119644e-02,1.978604532778263092e-01,4.500001668930053711e-02,7.944885239562474166e-02,2.003413904775831200e-01,5.726373896464709290e-02,2.003413904775831200e-01,5.726373896464709290e-02
1.421415277118035780e-01,6.865228793263702944e-02,5.331849847564598122e-01,8.752558326131401958e-03,7.788712903857231140e-02,1.968812532722949982e-01,4.399999976158142090e-02,8.225633509540279664e-02,2.003947317650423554e-01,5.352924594294961036e-02,2.003947317650423554e-01,5.352924594294961036e-02
1.525288835148730093e-01,6.755385353967573170e-02,5.280972000046243453e-01,8.576732620556925396e-03,7.721021398901939392e-02,1.971682384610176086e-01,4.600000381469726562e-02,8.025751425434636543e-02,1.998282545635857166e-01,5.568412810376066613e-02,1.998282545635857166e-01,5.568412810376066613e-02
1.482964384972846605e-01,7.415628207291428964e-02,5.403506707840174395e-01,8.498341068733206161e-03,7.895609922707080841e-02,1.980576738715171814e-01,4.499998688697814941e-02,8.583407592368830219e-02,2.028176644571971776e-01,6.305924546070840186e-02,2.028176644571971776e-01,6.305924546070840186e-02
1.189288400221773789e-01,7.327486452922561677e-02,5.629317527374537722e-01,8.722192443274944668e-03,7.844536937773227692e-02,1.974700540304183960e-01,4.699999094009399414e-02,8.136975376337286792e-02,1.990300287754855346e-01,5.961902434039356713e-02,1.990300287754855346e-01,5.961902434039356713e-02
1.297323400843111707e-01,7.606071420888448065e-02,5.316810252839911932e-01,8.987024250229042055e-03,7.740502152591943741e-02,1.962026692926883698e-01,4.399999976158142090e-02,8.313509696869035570e-02,2.011633047122663165e-01,6.102086056159239380e-02,2.011633047122663165e-01,6.102086056159239380e-02
1.188820452322994908e-01,7.352367251852821861e-02,5.561097591325545597e-01,8.782746098634663934e-03,7.822496443986892700e-02,1.970784664154052734e-01,4.499998688697814941e-02,8.107989398779405499e-02,1.997860078895862257e-01,5.821416467543061302e-02,1.997860078895862257e-01,5.821416467543061302e-02
1.454589631972867392e-01,7.086450496772574159e-02,5.443006038640554323e-01,8.516914506263295603e-03,7.683961791917681694e-02,1.960997506976127625e-01,4.300001263618469238e-02,8.015680510868100628e-02,1.989582634839858477e-01,5.014190875006130366e-02,1.989582634839858477e-01,5.014190875006130366e-02
