x,y,z,nx,ny,nz,curvature,AABB_Width,AABB_Height,AABB_Depth,OBB_Width,OBB_Height,OBB_Depth
-3.784254565834999084e-02,-3.562257857993245125e-03,4.020000100135803223e-01,2.904733255837581019e-01,2.079825268780107761e-01,9.340066999961775807e-01,1.186357118069842655e-02,7.658724021166563034e-02,1.982537098228931427e-01,4.500001668930053711e-02,7.817454465193386659e-02,1.998032597447935710e-01,6.136207142746918919e-02
-4.269328713417053223e-02,4.104892909526824951e-02,3.970000147819519043e-01,4.642599829238853171e-01,4.314664778976175924e-02,8.846474071854955046e-01,1.029742568623429749e-02,7.658724021166563034e-02,1.982537098228931427e-01,4.500001668930053711e-02,7.817454465193386659e-02,1.998032597447935710e-01,6.136207142746918919e-02
-2.251889556646347046e-02,1.502256989479064941e-01,3.820000290870666504e-01,1.923890785299218198e-01,-7.219697363338264950e-02,-9.786593071445180980e-01,1.916568471993526299e-02,7.658724021166563034e-02,1.982537098228931427e-01,4.500001668930053711e-02,7.817454465193386659e-02,1.998032597447935710e-01,6.136207142746918919e-02
-1.007415913045406342e-02,6.483159214258193970e-02,3.960000276565551758e-01,-6.094127075086162026e-01,-7.442369318339783768e-02,7.893524344802904658e-01,6.384108806705444082e-03,7.658724021166563034e-02,1.982537098228931427e-01,4.500001668930053711e-02,7.817454465193386659e-02,1.998032597447935710e-01,6.136207142746918919e-02
-3.717474639415740967e-02,9.797704219818115234e-02,3.880000114440917969e-01,2.591637475653803535e-01,2.742691954096462270e-01,9.260726539517366573e-01,1.428523172821383365e-02,7.658724021166563034e-02,1.982537098228931427e-01,4.500001668930053711e-02,7.817454465193386659e-02,1.998032597447935710e-01,6.136207142746918919e-02
-5.383972823619842529e-02,-1.328289136290550232e-02,4.110000133514404297e-01,5.683856023826485693e-01,1.372863861923881157e-01,8.112276222925032254e-01,7.751699613102838379e-03,7.658724021166563034e-02,1.982537098228931427e-01,4.500001668930053711e-02,7.817454465193386659e-02,1.998032597447935710e-01,6.136207142746918919e-02
-3.550470992922782898e-02,1.297801434993743896e-01,3.840000033378601074e-01,2.794244220677545854e-01,1.240066890150246515e-01,9.521262171748199332e-01,2.601603783226636574e-02,7.658724021166563034e-02,1.982537098228931427e-01,4.500001668930053711e-02,7.817454465193386659e-02,1.998032597447935710e-01,6.136207142746918919e-02
-8.128916379064321518e-04,4.033222422003746033e-02,4.100000262260437012e-01,-6.364455548503186177e-01,1.232810579658846217e-01,7.614058290150411690e-01,1.198421133375985465e-02,7.658724021166563034e-02,1.982537098228931427e-01,4.500001668930053711e-02,7.817454465193386659e-02,1.998032597447935710e-01,6.136207142746918919e-02
-3.595073148608207703e-02,2.303098142147064209e-02,3.960000276565551758e-01,2.368762974440914437e-01,2.648399447982093813e-01,9.347456463383286840e-01,1.313545460468979083e-02,7.658724021166563034e-02,1.982537098228931427e-01,4.500001668930053711e-02,7.817454465193386659e-02,1.998032597447935710e-01,6.136207142746918919e-02
-2.635916508734226227e-02,1.393449306488037109e-01,3.820000290870666504e-01,-3.959433203316284344e-01,3.593661192215053674e-02,9.175714942217430004e-01,2.189942221377337572e-02,7.658724021166563034e-02,1.982537098228931427e-01,4.500001668930053711e-02,7.817454465193386659e-02,1.998032597447935710e-01,6.136207142746918919e-02
-1.200373191386461258e-02,7.242597639560699463e-02,3.940000236034393311e-01,-4.188601889482596596e-01,2.550629534442401813e-01,8.714924164297298548e-01,1.693282190581609642e-02,7.658724021166563034e-02,1.982537098228931427e-01,4.500001668930053711e-02,7.817454465193386659e-02,1.998032597447935710e-01,6.136207142746918919e-02
