@relation 'database2-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13'

@attribute Mean_Nx numeric
@attribute Mean_Ny numeric
@attribute Mean_Nz numeric
@attribute Mean_Curvature numeric
@attribute OBB_Width numeric
@attribute OBB_Height numeric
@attribute OBB_Depth numeric
@attribute Major_Axis_Horizontal numeric
@attribute Major_Axis_Vertical numeric
@attribute Convex_Hull_Volume numeric
@attribute Surface_Area numeric
@attribute Concavity numeric
@attribute Target numeric

@data
0.349767,0.011407,0.200782,0.178148,0.109,0.001283,0.200782,0.109,0,0.016607,1.352813,0.0029,0
0.35286,0.012067,0.205389,0.177856,0.127,0.001797,0.205389,0.127,0,0.019792,1.270265,0.003046,0
0.350922,0.011532,0.19953,0.178048,0.126,0.00175,0.19953,0.126,0,0.01963,1.269466,0.002957,0
0.351127,0.011721,0.202571,0.177856,0.131,0.001776,0.202571,0.131,-0,0.019637,1.275194,0.003013,0
0.351592,0.012,0.197752,0.178017,0.13,0.001779,0.197752,0.13,0,0.019847,1.26245,0.002952,0
0.35279,0.011976,0.205064,0.17802,0.103,0.001296,0.205064,0.103,-0,0.016516,1.364956,0.002935,0
0.349913,0.011533,0.195742,0.177805,0.112,0.001266,0.195742,0.112,0,0.016515,1.354395,0.002934,0
0.349365,0.011598,0.198998,0.178017,0.11,0.001305,0.198998,0.11,0,0.01678,1.346847,0.002955,0
0.350774,0.011713,0.200771,0.178017,0.13,0.001758,0.200771,0.13,-0,0.019657,1.269572,0.002959,0
0.3535,0.011609,0.198537,0.178048,0.131,0.00177,0.198537,0.131,0,0.019606,1.275918,0.003017,0
0.351204,0.011701,0.199247,0.177997,0.132,0.001843,0.199247,0.132,-0,0.020021,1.266201,0.00302,0
0.105359,0.011144,0.185286,0.179297,0.138,0.001147,0.185286,0.138,0,0.014851,1.45742,0.003104,0
0.108698,0.011212,0.184818,0.17941,0.145,0.001843,0.184818,0.145,0,0.019932,1.271923,0.003125,0
0.104345,0.010951,0.184818,0.178601,0.141,0.001837,0.184818,0.141,0,0.019757,1.281904,0.003141,0
0.108781,0.011074,0.18531,0.179208,0.146,0.00171,0.18531,0.146,0,0.020002,1.236189,0.003152,0
0.109472,0.010823,0.183402,0.179401,0.144,0.00167,0.183402,0.144,0,0.019636,1.249313,0.003121,0
0.10756,0.01047,0.185064,0.179572,0.145,0.001696,0.185064,0.145,-0,0.019621,1.256821,0.003156,0
0.10603,0.01117,0.185581,0.18002,0.145,0.001696,0.185581,0.145,0,0.019783,1.246536,0.003137,0
0.110064,0.010471,0.18531,0.178835,0.141,0.001676,0.18531,0.141,-0,0.019591,1.253827,0.003144,0
0.109502,0.011013,0.184111,0.179602,0.137,0.001664,0.184111,0.137,0,0.019523,1.255099,0.003142,0
0.106486,0.011154,0.183889,0.17941,0.096,0.000865,0.183889,0.096,-0,0.01258,1.566045,0.003061,0
0.097088,0.010394,0.164307,0.177777,0.164,0.00103,0.177777,0.164,-0,0.014018,1.489725,0.003045,0
0.096032,0.01069,0.16664,0.177426,0.163,0.001055,0.177426,0.163,-0,0.01414,1.488774,0.003058,0
0.096683,0.010813,0.163233,0.177971,0.165,0.001055,0.177971,0.163233,0,0.014146,1.488016,0.003041,0
0.099346,0.01084,0.165398,0.178152,0.164,0.001029,0.178152,0.164,0,0.013925,1.499251,0.003048,0
0.096109,0.01106,0.163696,0.177461,0.172,0.001062,0.177461,0.163696,0,0.014333,1.471871,0.003059,0
0.097998,0.011062,0.165861,0.177789,0.161,0.001068,0.177789,0.161,0,0.014258,1.482416,0.003048,0
0.094021,0.010351,0.164313,0.177595,0.164,0.001068,0.177595,0.164,0,0.014205,1.488123,0.003076,0
0.095688,0.011022,0.165094,0.178919,0.171,0.001057,0.178919,0.165094,-0,0.014154,1.488367,0.003046,0
0.097814,0.011003,0.164786,0.179106,0.164,0.001028,0.179106,0.164,0,0.013825,1.50951,0.003043,0
0.095631,0.010478,0.164163,0.177595,0.164,0.00104,0.177595,0.164,0,0.013912,1.505806,0.003051,0
0.236091,0.014193,0.134769,0.175512,0.186,0.001134,0.186,0.134769,0,0.015306,1.408828,0.002532,0
0.231572,0.013478,0.134654,0.176587,0.193,0.001085,0.193,0.134654,0,0.01529,1.389789,0.002597,0
0.233281,0.013725,0.180504,0.174951,0.189,0.001652,0.189,0.174951,-0,0.019228,1.271167,0.002616,0
0.226368,0.014185,0.096468,0.174865,0.174,0.000843,0.174865,0.096468,0,0.013406,1.456871,0.002568,0
0.226812,0.014337,0.101413,0.174949,0.174,0.00088,0.174949,0.101413,0,0.01392,1.42344,0.002547,0
0.225317,0.014165,0.10176,0.174861,0.175,0.000992,0.175,0.10176,-0,0.014443,1.428145,0.00259,0
0.224506,0.013053,0.102507,0.17491,0.177,0.000913,0.177,0.102507,0,0.014128,1.419916,0.002546,0
0.224669,0.013517,0.135171,0.174962,0.186,0.001059,0.186,0.135171,0,0.015171,1.389194,0.002565,0
0.230441,0.01413,0.221115,0.175183,0.179,0.002326,0.221115,0.175183,-0,0.023285,1.176622,0.002659,0
0.224761,0.013509,0.138531,0.174285,0.18,0.001482,0.18,0.138531,-0,0.019103,1.234063,0.002565,0
