Mean_Nx,Mean_Ny,Mean_Nz,Mean_Curvature,AABB_Width,AABB_Height,AABB_Depth,OBB_Width,OBB_Height,OBB_Depth,Major_Axis_Horizontal,Major_Axis_Vertical,Target
1.583767771439897054e-01,7.112275585500742181e-02,5.258151797858390264e-01,8.713283539583487752e-03,7.788712903857231140e-02,1.974671967327594757e-01,4.399999976158142090e-02,8.343197683307009005e-02,2.013982908276238937e-01,6.018320330975501786e-02,2.013982908276238937e-01,6.018320330975501786e-02,0.000000000000000000e+00
1.426706405614006357e-01,6.583498311211459508e-02,5.177112370834818789e-01,9.160575976985085508e-03,7.974160835146903992e-02,1.970739252865314484e-01,4.399999976158142090e-02,8.919471896341896189e-02,2.033707313886983226e-01,5.291018897351817962e-02,2.033707313886983226e-01,5.291018897351817962e-02,0.000000000000000000e+00
1.350853883567944280e-01,7.620230744964555381e-02,5.902429421080177541e-01,1.197207055355157396e-02,7.924093678593635559e-02,1.974671967327594757e-01,4.500001668930053711e-02,8.068851937487564463e-02,1.988718960627732790e-01,5.557430125530216092e-02,1.988718960627732790e-01,5.557430125530216092e-02,0.000000000000000000e+00
1.278959486466338669e-01,7.410829220653931959e-02,5.944109384287190601e-01,1.196679159756464973e-02,7.906637713313102722e-02,1.964879818260669708e-01,4.500001668930053711e-02,8.418494739321129294e-02,2.006751035457207122e-01,5.327716433624163361e-02,2.006751035457207122e-01,5.327716433624163361e-02,0.000000000000000000e+00
1.248843944556975172e-01,7.893894944777073153e-02,6.309948331523287379e-01,1.506357182259852184e-02,7.974160835146903992e-02,1.971801854670047760e-01,4.500001668930053711e-02,8.660496747100412951e-02,2.019367721574148455e-01,5.305234032296213265e-02,2.019367721574148455e-01,5.305234032296213265e-02,0.000000000000000000e+00
1.243442381274391662e-01,8.081412104406965335e-02,6.269116726985028976e-01,1.527929742769921009e-02,7.924093678593635559e-02,1.974671967327594757e-01,4.500001668930053711e-02,8.600391923761221968e-02,2.021772269140110212e-01,5.219309829272367196e-02,2.021772269140110212e-01,5.219309829272367196e-02,0.000000000000000000e+00
1.227979316766937001e-01,7.894003722801318235e-02,6.656204664181948338e-01,2.066929519572188387e-02,7.974160835146903992e-02,1.974671967327594757e-01,4.500001668930053711e-02,8.835875721471173061e-02,2.028663961162961993e-01,5.420374056913490612e-02,2.028663961162961993e-01,5.420374056913490612e-02,0.000000000000000000e+00
1.200339172627314238e-01,7.907797625763651750e-02,6.695798546958047215e-01,2.065018540028166344e-02,7.974160835146903992e-02,1.974671967327594757e-01,4.500001668930053711e-02,8.790943130579517706e-02,2.027771036598566279e-01,5.329009147529117918e-02,2.027771036598566279e-01,5.329009147529117918e-02,0.000000000000000000e+00
1.387459061509124514e-01,7.389671906643389965e-02,5.664060247543427629e-01,9.226405603768288860e-03,9.510251879692077637e-02,2.002200223505496979e-01,4.600000381469726562e-02,9.774853148355491794e-02,2.029743871339786121e-01,6.744241008285212224e-02,2.029743871339786121e-01,6.744241008285212224e-02,0.000000000000000000e+00
1.178591544713056966e-01,7.345008127250712837e-02,5.399046905415342268e-01,9.058282600047255773e-03,9.576266258955001831e-02,2.002200223505496979e-01,4.299998283386230469e-02,1.054599947437410562e-01,2.006549117797840620e-01,8.759090392881840881e-02,2.006549117797840620e-01,8.759090392881840881e-02,0.000000000000000000e+00
