Mean_Nx,Mean_Ny,Mean_Nz,Mean_Curvature,OBB_Width,OBB_Height,OBB_Depth,Major_Axis_Horizontal,Major_Axis_Vertical,Convex_Hull_Volume,Surface_Area,Concavity,Target
3.497665967586267577e-01,1.140689369255679618e-02,2.007817924022674561e-01,1.781484186649322510e-01,1.090000271797180176e-01,1.282524567726020439e-03,2.007817924022674561e-01,1.090000271797180176e-01,2.168404344971008868e-19,1.660734051408215006e-02,1.352812734444043707e+00,2.900216067810593244e-03,0.000000000000000000e+00
3.528599321865881766e-01,1.206679992636740945e-02,2.053894475102424622e-01,1.778557673096656799e-01,1.270000040531158447e-01,1.797164801889631703e-03,2.053894475102424622e-01,1.270000040531158447e-01,4.336808689942017736e-19,1.979175132016439131e-02,1.270264861806048806e+00,3.046419166375761555e-03,0.000000000000000000e+00
3.509219700380936668e-01,1.153244907839066566e-02,1.995295137166976929e-01,1.780475825071334839e-01,1.260000169277191162e-01,1.750103980159855004e-03,1.995295137166976929e-01,1.260000169277191162e-01,4.336808689942017736e-19,1.962980568889454921e-02,1.269466249479306308e+00,2.956595780790754330e-03,0.000000000000000000e+00
3.511272197914054871e-01,1.172068007331258238e-02,2.025712803006172180e-01,1.778557673096656799e-01,1.309999823570251465e-01,1.775872998346375792e-03,2.025712803006172180e-01,1.309999823570251465e-01,-2.168404344971008868e-19,1.963707284200222336e-02,1.275194484775331150e+00,3.013337353652398645e-03,0.000000000000000000e+00
3.515917319754817694e-01,1.200021467677231043e-02,1.977523416280746460e-01,1.780172958970069885e-01,1.300000250339508057e-01,1.778967689130663129e-03,1.977523416280746460e-01,1.300000250339508057e-01,0.000000000000000000e+00,1.984682255563894812e-02,1.262450161115042491e+00,2.952400073314476875e-03,0.000000000000000000e+00
3.527895802937602299e-01,1.197565463068224652e-02,2.050640508532524109e-01,1.780202910304069519e-01,1.030000150203704834e-01,1.295687421819352462e-03,2.050640508532524109e-01,1.030000150203704834e-01,-6.505213034913026604e-19,1.651570739094608900e-02,1.364956391779442502e+00,2.934502633148712136e-03,0.000000000000000000e+00
3.499130162254754928e-01,1.153272660121205419e-02,1.957418173551559448e-01,1.778054237365722656e-01,1.120000183582305908e-01,1.265772491169692236e-03,1.957418173551559448e-01,1.120000183582305908e-01,0.000000000000000000e+00,1.651539422930971626e-02,1.354395435804757630e+00,2.933634089683470787e-03,0.000000000000000000e+00
3.493653381834315730e-01,1.159821515292986868e-02,1.989979222416877747e-01,1.780172958970069885e-01,1.099999845027923584e-01,1.305465330108998524e-03,1.989979222416877747e-01,1.099999845027923584e-01,4.336808689942017736e-19,1.677977115606841749e-02,1.346847081186121509e+00,2.955027537583211281e-03,0.000000000000000000e+00
3.507735505620772631e-01,1.171331752335682402e-02,2.007709667086601257e-01,1.780172958970069885e-01,1.299999952316284180e-01,1.757904815226287538e-03,2.007709667086601257e-01,1.299999952316284180e-01,-1.301042606982605321e-18,1.965729748892883211e-02,1.269571556375490573e+00,2.959239993137916316e-03,0.000000000000000000e+00
3.535003489504970342e-01,1.160887896099114559e-02,1.985373497009277344e-01,1.780475825071334839e-01,1.310000121593475342e-01,1.770346142603532831e-03,1.985373497009277344e-01,1.310000121593475342e-01,2.168404344971008868e-19,1.960555828511545418e-02,1.275917884013606951e+00,3.016741635167293194e-03,0.000000000000000000e+00
3.512041496044589484e-01,1.170147493801440217e-02,1.992467194795608521e-01,1.779972389340400696e-01,1.319999992847442627e-01,1.842663109807738233e-03,1.992467194795608521e-01,1.319999992847442627e-01,-4.336808689942017736e-19,2.002142765703847360e-02,1.266201470961331399e+00,3.020010577470427435e-03,0.000000000000000000e+00
1.053588328469424323e-01,1.114355876717019328e-02,1.852861419320106506e-01,1.792967244982719421e-01,1.379999816417694092e-01,1.146787945110484038e-03,1.852861419320106506e-01,1.379999816417694092e-01,6.505213034913026604e-19,1.485110349270575732e-02,1.457420443978625579e+00,3.104102161739145157e-03,0.000000000000000000e+00
1.086975568744938253e-01,1.121203357937383856e-02,1.848178505897521973e-01,1.794101521372795105e-01,1.449999809265136719e-01,1.842831347157538029e-03,1.848178505897521973e-01,1.449999809265136719e-01,4.336808689942017736e-19,1.993196640659464919e-02,1.271923308514289142e+00,3.125308157526653433e-03,0.000000000000000000e+00
1.043454867341572223e-01,1.095143846437697868e-02,1.848178505897521973e-01,1.786010712385177612e-01,1.410000324249267578e-01,1.837267296250934441e-03,1.848178505897521973e-01,1.410000324249267578e-01,4.336808689942017736e-19,1.975685221758117366e-02,1.281904205723819912e+00,3.141161410741004096e-03,0.000000000000000000e+00
1.087809067481295272e-01,1.107354032131093423e-02,1.853103041648864746e-01,1.792079284787178040e-01,1.459999978542327881e-01,1.709808577659521290e-03,1.853103041648864746e-01,1.459999978542327881e-01,1.734723475976807094e-18,2.000230610067112169e-02,1.236189271671536360e+00,3.151915982533254335e-03,0.000000000000000000e+00
1.094720628630114767e-01,1.082262079821510320e-02,1.834016740322113037e-01,1.794005110859870911e-01,1.439999938011169434e-01,1.669711653241197401e-03,1.834016740322113037e-01,1.439999938011169434e-01,2.168404344971008868e-18,1.963625223787928212e-02,1.249312540405795646e+00,3.121292791579534029e-03,0.000000000000000000e+00
1.075595485415179048e-01,1.046971288839807813e-02,1.850640773773193359e-01,1.795720010995864868e-01,1.450000107288360596e-01,1.695925642124941797e-03,1.850640773773193359e-01,1.450000107288360596e-01,-6.505213034913026604e-19,1.962055522495812984e-02,1.256821258997791624e+00,3.155819486172740766e-03,0.000000000000000000e+00
1.060298271327671654e-01,1.116991135160784465e-02,1.855807080864906311e-01,1.800196915864944458e-01,1.450000107288360596e-01,1.695969135362282443e-03,1.855807080864906311e-01,1.450000107288360596e-01,1.517883041479706208e-18,1.978261351213695535e-02,1.246536091248016120e+00,3.137441129441093622e-03,0.000000000000000000e+00
1.100642189963210171e-01,1.047107620194186531e-02,1.853103041648864746e-01,1.788346990942955017e-01,1.410000324249267578e-01,1.676336264299422467e-03,1.853103041648864746e-01,1.410000324249267578e-01,-8.673617379884035472e-19,1.959139543908275730e-02,1.253826809097643435e+00,3.143699203501177080e-03,0.000000000000000000e+00
1.095022372942322103e-01,1.101333575408889286e-02,1.841110587120056152e-01,1.796019747853279114e-01,1.369999945163726807e-01,1.663810577999449243e-03,1.841110587120056152e-01,1.369999945163726807e-01,4.336808689942017736e-19,1.952267247764419289e-02,1.255098760882741527e+00,3.142207841336514072e-03,0.000000000000000000e+00
1.064859551021041656e-01,1.115395539050782411e-02,1.838889941573143005e-01,1.794101521372795105e-01,9.599998593330383301e-02,8.647116139592623315e-04,1.838889941573143005e-01,9.599998593330383301e-02,-8.673617379884035472e-19,1.257965304074451160e-02,1.566045261735643290e+00,3.060688290402527757e-03,0.000000000000000000e+00
9.708839883479884747e-02,1.039353728652551816e-02,1.643070876598358154e-01,1.777767017483711243e-01,1.640000045299530029e-01,1.029925160671993399e-03,1.777767017483711243e-01,1.640000045299530029e-01,-8.673617379884035472e-19,1.401774789052697735e-02,1.489725276375539531e+00,3.044828514336982150e-03,0.000000000000000000e+00
9.603229333221918740e-02,1.068963641202141240e-02,1.666402742266654968e-01,1.774261891841888428e-01,1.630000174045562744e-01,1.055056891340907946e-03,1.774261891841888428e-01,1.630000174045562744e-01,-4.336808689942017736e-19,1.413988167983354013e-02,1.488773830860413705e+00,3.057526336090052570e-03,0.000000000000000000e+00
9.668307058899953954e-02,1.081343379900691869e-02,1.632331311702728271e-01,1.779707670211791992e-01,1.650000214576721191e-01,1.054849871828043417e-03,1.779707670211791992e-01,1.632331311702728271e-01,2.168404344971008868e-19,1.414615767642814041e-02,1.488015993558476024e+00,3.040953031341058106e-03,0.000000000000000000e+00
9.934596783215621230e-02,1.084005248668140110e-02,1.653980538249015808e-01,1.781523004174232483e-01,1.640000045299530029e-01,1.029063175273793942e-03,1.781523004174232483e-01,1.640000045299530029e-01,4.336808689942017736e-19,1.392479792605151763e-02,1.499250905501707143e+00,3.048262681558816696e-03,0.000000000000000000e+00
9.610889342906088484e-02,1.105978130066577816e-02,1.636962741613388062e-01,1.774607449769973755e-01,1.719999909400939941e-01,1.061968585632754253e-03,1.774607449769973755e-01,1.636962741613388062e-01,2.168404344971008868e-19,1.433342903187697151e-02,1.471870716875673502e+00,3.058502120820557387e-03,0.000000000000000000e+00
9.799789991690992241e-02,1.106229102159223335e-02,1.658614352345466614e-01,1.777892410755157471e-01,1.609999835491180420e-01,1.067862847945347769e-03,1.777892410755157471e-01,1.609999835491180420e-01,1.084202172485504434e-18,1.425774371187480544e-02,1.482416467566965323e+00,3.048119070959545273e-03,0.000000000000000000e+00
9.402122351251966659e-02,1.035053847140000004e-02,1.643130257725715637e-01,1.775951758027076721e-01,1.640000045299530029e-01,1.068291171041759824e-03,1.775951758027076721e-01,1.640000045299530029e-01,2.168404344971008868e-19,1.420496782930895548e-02,1.488123017147068738e+00,3.075754353847727149e-03,0.000000000000000000e+00
9.568804103714045883e-02,1.102249443210930394e-02,1.650941967964172363e-01,1.789194270968437195e-01,1.710000336170196533e-01,1.057403615917493168e-03,1.789194270968437195e-01,1.650941967964172363e-01,-4.336808689942017736e-19,1.415422910846576149e-02,1.488366608893728849e+00,3.046402400875712971e-03,0.000000000000000000e+00
9.781443746360318769e-02,1.100298913297319443e-02,1.647862195968627930e-01,1.791061013936996460e-01,1.640000045299530029e-01,1.027959550873178834e-03,1.791061013936996460e-01,1.640000045299530029e-01,8.673617379884035472e-19,1.382521371740268699e-02,1.509510125693066751e+00,3.042714340553339183e-03,0.000000000000000000e+00
