Mean_Nx,Mean_Ny,Mean_Nz,Mean_Curvature,AABB_Width,AABB_Height,AABB_Depth,OBB_Width,OBB_Height,OBB_Depth,Major_Axis_Horizontal,Major_Axis_Vertical,Target
1.564930454597630860e-02,6.319591692043288744e-02,6.063746749196149421e-01,4.919116428305226642e-03,6.731781065464019775e-01,5.205461978912353516e-01,3.190000057220458984e-01,1.110406333658863431e+00,1.123017902695987225e+00,7.554538955328428118e-01,1.123017902695987225e+00,7.554538955328428118e-01,7.000000000000000000e+00
2.590579346020597390e-02,6.389060434352328288e-02,6.154942645158458792e-01,4.727462280264367253e-03,6.660863757133483887e-01,5.143994390964508057e-01,3.170000016689300537e-01,9.323508528989931099e-01,9.045693727139663132e-01,7.527766572199745543e-01,9.323508528989931099e-01,7.527766572199745543e-01,7.000000000000000000e+00
2.675070133847070805e-02,6.519718636836240033e-02,6.206351160279436341e-01,5.229480561377205898e-03,6.727354824542999268e-01,5.190209597349166870e-01,3.190000355243682861e-01,1.052407612431536910e+00,1.076704593315185310e+00,8.235266691785751991e-01,1.076704593315185310e+00,8.235266691785751991e-01,7.000000000000000000e+00
3.187749881694641046e-02,6.758527672521817686e-02,6.350721527375867703e-01,5.356360643167663339e-03,6.713109612464904785e-01,5.175805091857910156e-01,3.170000016689300537e-01,9.923096629681196212e-01,1.000568626819484441e+00,8.159199292864734998e-01,1.000568626819484441e+00,8.159199292864734998e-01,7.000000000000000000e+00
3.258921285577795479e-02,7.011160775497078668e-02,6.641432643615393649e-01,5.625664853838648928e-03,6.733691096305847168e-01,5.207342803478240967e-01,3.190000355243682861e-01,1.056096374547992545e+00,1.076971314062412866e+00,7.845679984709743593e-01,1.076971314062412866e+00,7.845679984709743593e-01,7.000000000000000000e+00
3.267745934048336964e-02,6.854636730112788345e-02,6.497541974347045279e-01,5.820298379017700696e-03,6.727354824542999268e-01,5.204394161701202393e-01,3.190000355243682861e-01,1.022909859674379307e+00,1.042913556043898904e+00,8.265971463893685423e-01,1.042913556043898904e+00,8.265971463893685423e-01,7.000000000000000000e+00
3.615613650402859508e-02,7.657254850977213145e-02,7.008933789414660831e-01,6.121967128791549334e-03,6.733691096305847168e-01,5.231111347675323486e-01,3.190000355243682861e-01,1.037734504065242813e+00,1.067614310981704007e+00,8.006696046656128773e-01,1.067614310981704007e+00,8.006696046656128773e-01,7.000000000000000000e+00
3.332736875069644555e-02,7.472499348245949247e-02,6.903008150429260636e-01,6.205747324234307978e-03,6.717536151409149170e-01,5.217355191707611084e-01,3.180000483989715576e-01,1.061069293677901149e+00,1.069973233723783723e+00,8.116544644975236533e-01,1.069973233723783723e+00,8.116544644975236533e-01,7.000000000000000000e+00
1.807170003859769752e-02,6.101713032859056723e-02,5.910821822136393955e-01,4.611246309794933898e-03,6.709251403808593750e-01,5.220949798822402954e-01,3.210000097751617432e-01,1.038668517945986025e+00,1.053291107944227756e+00,7.401062310665067479e-01,1.053291107944227756e+00,7.401062310665067479e-01,7.000000000000000000e+00
1.097836050753269073e-02,5.690796083609916262e-02,5.481189293664704421e-01,4.787559229610847955e-03,6.703429818153381348e-01,5.232530385255813599e-01,3.210000097751617432e-01,1.043647468886571783e+00,1.071506581197266605e+00,7.883502305959154688e-01,1.071506581197266605e+00,7.883502305959154688e-01,7.000000000000000000e+00
2.962646950345598426e-02,6.734062571618326665e-02,6.390804369647935523e-01,5.933259878097138160e-03,6.737185120582580566e-01,5.241810381412506104e-01,3.219999969005584717e-01,1.076941234008580883e+00,1.109036091713715866e+00,7.657576341264421549e-01,1.109036091713715866e+00,7.657576341264421549e-01,7.000000000000000000e+00
2.833994492307229107e-02,6.754827374942118379e-02,6.355336483381365253e-01,5.798790390593098511e-03,6.716565787792205811e-01,5.178375542163848877e-01,3.200000226497650146e-01,1.074879013858545340e+00,1.091449806075360129e+00,7.670402080714552318e-01,1.091449806075360129e+00,7.670402080714552318e-01,7.000000000000000000e+00
2.879086642967006865e-02,6.958241710848292461e-02,6.572567645243128087e-01,6.195172604545336192e-03,6.713660955429077148e-01,5.230687409639358521e-01,3.219999969005584717e-01,1.052397006818043046e+00,1.085597831525507484e+00,6.945125761826598243e-01,1.085597831525507484e+00,6.945125761826598243e-01,7.000000000000000000e+00
2.848338692019383722e-02,6.863341478077976399e-02,6.484532379692774517e-01,6.277688440858050604e-03,6.714639365673065186e-01,5.226156711578369141e-01,3.219999969005584717e-01,1.078138336151529764e+00,1.103771936614774907e+00,7.730694677135947490e-01,1.103771936614774907e+00,7.730694677135947490e-01,7.000000000000000000e+00
3.210501387208223451e-02,7.272800115865847570e-02,6.940353695249589228e-01,6.821574199318959295e-03,6.737185120582580566e-01,5.223827213048934937e-01,3.219999969005584717e-01,1.056304957433035430e+00,1.082075930269121411e+00,7.358963253020953665e-01,1.082075930269121411e+00,7.358963253020953665e-01,7.000000000000000000e+00
3.388459832734626309e-02,7.376182317974969149e-02,6.885357514567888026e-01,6.742935721076061956e-03,6.732741892337799072e-01,5.226481705904006958e-01,3.210000097751617432e-01,1.069139250980449596e+00,1.105555581208433003e+00,7.284242447814701649e-01,1.105555581208433003e+00,7.284242447814701649e-01,7.000000000000000000e+00
1.375899112805330747e-02,6.355563321390388098e-02,5.884974809415801644e-01,4.027293501115392603e-03,6.687792837619781494e-01,5.227577984333038330e-01,3.180000483989715576e-01,1.065424042065893806e+00,1.100368688174166110e+00,8.143956187578180739e-01,1.100368688174166110e+00,8.143956187578180739e-01,7.000000000000000000e+00
1.975813549898680285e-02,6.589830922132010327e-02,6.316168868821327997e-01,4.306267603369598983e-03,6.682793498039245605e-01,5.208622962236404419e-01,3.160000145435333252e-01,1.081479808470623860e+00,1.091137957415597937e+00,8.291345224560271454e-01,1.091137957415597937e+00,8.291345224560271454e-01,7.000000000000000000e+00
2.718957370850332012e-02,6.773818260712402561e-02,6.363918100317286219e-01,4.972930893539682755e-03,6.716570556163787842e-01,5.198045521974563599e-01,3.190000355243682861e-01,1.056326919264804154e+00,1.084247536328669881e+00,8.558070810237258241e-01,1.084247536328669881e+00,8.558070810237258241e-01,7.000000000000000000e+00
2.873177272409827357e-02,6.777990189006155575e-02,6.322076294959325660e-01,5.057410206928017286e-03,6.718501746654510498e-01,5.206313431262969971e-01,3.190000355243682861e-01,1.092378676015420602e+00,1.102569542462475738e+00,8.379969326605400948e-01,1.102569542462475738e+00,8.379969326605400948e-01,7.000000000000000000e+00
2.927811686178296430e-02,6.856536442715770174e-02,6.741387650357902883e-01,5.553514584858669154e-03,6.692048311233520508e-01,5.228487402200698853e-01,3.180000483989715576e-01,1.076649425435050045e+00,1.092825713030814105e+00,8.427789727266837838e-01,1.092825713030814105e+00,8.427789727266837838e-01,7.000000000000000000e+00
3.138658323923419757e-02,6.807689239996511654e-02,6.708444583020358731e-01,5.545720517556453066e-03,6.703291237354278564e-01,5.227920264005661011e-01,3.180000483989715576e-01,1.082822563818721218e+00,1.091391289172253254e+00,8.430430214566071445e-01,1.091391289172253254e+00,8.430430214566071445e-01,7.000000000000000000e+00
