Temperature,Humidity,DATE
31.5,10,14/4/2024 19:10:44
31.4,11,14/4/2024 19:11:0
31.4,11,14/4/2024 19:11:10
31.4,11,14/4/2024 19:12:0
31.5,13,14/4/2024 19:12:10
31.3,19,14/4/2024 19:12:20
31.3,20,14/4/2024 19:12:30
31.5,23,14/4/2024 19:12:40
31.3,18,14/4/2024 19:12:50
31.3,16,14/4/2024 19:13:6
31.3,14,14/4/2024 19:13:16
31.3,13,14/4/2024 19:13:26
31.3,13,14/4/2024 19:13:36
31.3,13,14/4/2024 19:13:46
31.3,15,14/4/2024 19:14:2
31.3,17,14/4/2024 19:14:23
31.3,20,14/4/2024 19:14:33
31.3,17,14/4/2024 19:14:43
31.3,16,14/4/2024 19:15:43
31.3,15,14/4/2024 19:15:59
31.3,14,14/4/2024 19:16:18
31.3,23,14/4/2024 19:16:34
31.3,24,14/4/2024 19:16:44
31.3,24,14/4/2024 19:16:54
31.3,20,14/4/2024 19:17:11
31.3,22,14/4/2024 19:17:22
31.3,30,14/4/2024 19:17:40
31.4,26,14/4/2024 19:17:54
31.3,17,14/4/2024 19:18:21
31.3,17,14/4/2024 19:18:44
31.4,17,14/4/2024 19:19:0
31.3,16,14/4/2024 19:19:10
31.3,14,14/4/2024 19:19:20
31.3,12,14/4/2024 19:19:30
31.3,12,14/4/2024 19:19:40
31.3,11,14/4/2024 19:19:50
31.3,11,14/4/2024 19:20:0
31.3,11,14/4/2024 19:20:10
31.3,11,14/4/2024 19:20:20
31.3,11,14/4/2024 19:20:30
31.3,11,14/4/2024 19:20:41
31.3,11,14/4/2024 19:20:51
31.3,11,14/4/2024 19:21:1
31.3,11,14/4/2024 19:21:11
31.3,11,14/4/2024 19:21:21
31.3,11,14/4/2024 19:21:31
31.3,11,14/4/2024 19:21:41
31.3,11,14/4/2024 19:21:51
31.3,11,14/4/2024 19:22:1
31.3,11,14/4/2024 19:22:11
31.3,11,14/4/2024 19:22:22
31.3,11,14/4/2024 19:22:32
31.3,11,14/4/2024 19:22:42
31.3,11,14/4/2024 19:22:52
31.3,11,14/4/2024 19:23:2
31.3,11,14/4/2024 19:23:12
31.3,11,14/4/2024 19:23:22
31.3,11,14/4/2024 19:23:32
31.2,11,14/4/2024 19:23:42
31.3,11,14/4/2024 19:23:52
31.3,11,14/4/2024 19:24:3
31.3,11,14/4/2024 19:24:13
31.3,11,14/4/2024 19:24:23
31.3,11,14/4/2024 19:24:33
31.3,11,14/4/2024 19:24:43
31.2,11,14/4/2024 19:24:53
31.2,11,14/4/2024 19:25:3
31.3,11,14/4/2024 19:25:13
31.3,11,14/4/2024 19:25:23
31.3,11,14/4/2024 19:25:33
31.3,11,14/4/2024 19:25:44
31.3,11,14/4/2024 19:25:54
31.3,11,14/4/2024 19:26:4
31.3,11,14/4/2024 19:26:14
31.3,11,14/4/2024 19:26:24
31.3,11,14/4/2024 19:26:34
31.3,11,14/4/2024 19:26:44
31.3,11,14/4/2024 19:26:54
31.3,11,14/4/2024 19:27:4
31.3,11,14/4/2024 19:27:14
31.3,11,14/4/2024 19:27:25
31.3,11,14/4/2024 19:27:35
31.3,11,14/4/2024 19:27:45
31.3,11,14/4/2024 19:27:55
31.2,11,14/4/2024 19:28:5
31.3,11,14/4/2024 19:28:15
31.3,11,14/4/2024 19:28:25
31.2,11,14/4/2024 19:28:35
31.2,11,14/4/2024 19:28:45
31.1,11,14/4/2024 19:28:55
31.3,11,14/4/2024 19:29:6
31.2,11,14/4/2024 19:29:16
31.2,11,14/4/2024 19:29:26
31.2,11,14/4/2024 19:29:36
31.2,11,14/4/2024 19:29:46
31.2,11,14/4/2024 19:29:56
31.2,11,14/4/2024 19:30:6
31.2,11,14/4/2024 19:30:16
31.2,11,14/4/2024 19:30:26
31.2,11,14/4/2024 19:30:36
31.2,11,14/4/2024 19:30:47
31.2,11,14/4/2024 19:30:57
31.2,11,14/4/2024 19:31:7
31.2,11,14/4/2024 19:31:17
31.1,11,14/4/2024 19:31:27
31.2,11,14/4/2024 19:31:37
31.2,11,14/4/2024 19:31:47
31.2,11,14/4/2024 19:31:57
31.3,11,14/4/2024 19:32:7
31.2,11,14/4/2024 19:32:18
31.2,11,14/4/2024 19:32:28
31.2,11,14/4/2024 19:32:38
31.2,11,14/4/2024 19:32:48
31.2,11,14/4/2024 19:32:58
31.2,11,14/4/2024 19:33:8
31.2,11,14/4/2024 19:33:18
31.2,11,14/4/2024 19:33:28
31.2,11,14/4/2024 19:33:38
31.2,11,14/4/2024 19:33:48
31.2,11,14/4/2024 19:33:59
31.2,11,14/4/2024 19:34:9
31.2,11,14/4/2024 19:34:19
31.2,11,14/4/2024 19:34:29
31.2,11,14/4/2024 19:34:39
31.2,11,14/4/2024 19:34:49
31.2,11,14/4/2024 19:34:59
31.2,11,14/4/2024 19:35:9
31.2,11,14/4/2024 19:35:19
31.1,11,14/4/2024 19:35:29
31.2,11,14/4/2024 19:35:40
31.2,11,14/4/2024 19:35:50
31.2,11,14/4/2024 19:36:0
31.2,11,14/4/2024 19:36:10
31.2,11,14/4/2024 19:36:20
31.2,11,14/4/2024 19:36:30
31.2,11,14/4/2024 19:36:40
31.2,11,14/4/2024 19:36:50
31.2,11,14/4/2024 19:37:0
31.2,11,14/4/2024 19:37:10
31.2,11,14/4/2024 19:37:21
31.2,11,14/4/2024 19:37:31
31.2,11,14/4/2024 19:37:41
31.1,11,14/4/2024 19:37:51
31.1,11,14/4/2024 19:38:1
31.2,11,14/4/2024 19:38:11
31.2,11,14/4/2024 19:38:21
31.2,11,14/4/2024 19:38:31
31.1,11,14/4/2024 19:38:41
31.2,11,14/4/2024 19:38:51
31.1,11,14/4/2024 19:39:2
31.2,11,14/4/2024 19:39:12
31.1,11,14/4/2024 19:39:22
31.1,11,14/4/2024 19:39:32
31.1,11,14/4/2024 19:39:42
31.1,11,14/4/2024 19:39:52
31.1,11,14/4/2024 19:40:2
31.1,11,14/4/2024 19:40:12
31.1,11,14/4/2024 19:40:22
31.1,11,14/4/2024 19:40:33
31.1,11,14/4/2024 19:40:43
31.1,11,14/4/2024 19:40:53
31.1,10,14/4/2024 19:41:3
31.1,10,14/4/2024 19:41:13
31.1,10,14/4/2024 19:41:23
31.1,10,14/4/2024 19:41:33
31.1,10,14/4/2024 19:41:43
31.1,10,14/4/2024 19:41:53
31.1,11,14/4/2024 19:42:3
31.1,10,14/4/2024 19:42:14
31.1,10,14/4/2024 19:42:24
31.1,10,14/4/2024 19:42:34
31.1,10,14/4/2024 19:42:44
31.1,10,14/4/2024 19:42:54
31.1,10,14/4/2024 19:43:4
31.1,10,14/4/2024 19:43:14
31.1,9,14/4/2024 19:43:24
31,9,14/4/2024 19:43:34
31,9,14/4/2024 19:43:44
31.1,9,14/4/2024 19:43:55
