fecha,exportaciones_total,exportaciones_canada,exportaciones_usa,importaciones_total,importaciones_canada,importaciones_usa
1994/01,3415987,149989,3565976,4009644,125127,3884517
1994/02,3895192,132880,4028072,4353596,92510,4261086
1994/03,4373030,172664,4545694,4601368,138413,4462955
1994/04,3902722,160116,4062838,4299693,110697,4188996
1994/05,4250743,176765,4427508,4713636,102952,4610684
1994/06,4476513,148429,4624942,4981642,130514,4851128
1994/07,4022665,113705,4136370,4430283,168324,4261959
1994/08,4478338,104443,4582782,4859171,121713,4737458
1994/09,4278919,95862,4374781,4753289,130389,4622900
1994/10,4784030,56463,4840493,5109646,138253,4971393
1994/11,5285738,60938,5346676,5438522,180353,5258169
1994/12,4454722,147237,4601959,4904892,181977,4722915
1995/01,5046116,140180,5186295,4586891,133523,4453368
1995/02,5132696,167129,5299825,4218666,93385,4125281
1995/03,5599240,191282,5790522,4590142,127500,4462641
1995/04,4809322,160787,4970109,3733327,95002,3638325
1995/05,5753750,224860,5978610,4569099,114917,4454183
1995/06,5457945,211183,5669128,4633245,121669,4511576
1995/07,5040201,127237,5167438,4120543,96339,4024205
1995/08,5894694,170886,6065580,4955412,123352,4832060
1995/09,5847334,125654,5972988,4742878,97952,4644926
1995/10,6152826,198737,6351563,5185176,103646,5081530
1995/11,5891416,146015,6037432,4986212,113488,4872724
1995/12,5648108,123451,5771559,4955159,153480,4801679
1996/01,6001440,167921,6169361,4962748,121326,4841422
1996/02,6043190,175236,6218426,5222408,122329,5100080
1996/03,6287738,152510,6440247,5314436,134960,5179476
1996/04,6686309,156621,6842930,5542851,131870,5410981
1996/05,6742193,162196,6904390,5891620,153451,5738169
1996/06,6260847,193335,6454182,5233742,99298,5134444
1996/07,6678027,174402,6852430,5913608,132423,5781185
1996/08,6592010,224019,6816029,5793704,134308,5659396
1996/09,7053726,186311,7240037,5900894,133531,5767363
1996/10,7815955,221405,8037359,6973771,172056,6801716
1996/11,7163614,160776,7324391,6410005,183116,6226889
1996/12,7244976,197278,7442254,6119882,224896,5894986
1997/01,6964170,154661,7118831,5757358,153320,5604038
1997/02,6943473,142700,7086173,5931459,154136,5777323
1997/03,7441148,216067,7657215,6353135,147506,6205629
1997/04,7774345,193207,7967552,6897306,151093,6746213
1997/05,7515567,181887,7697455,6526445,172088,6354357
1997/06,8013380,199435,8212816,6970448,153984,6816464
1997/07,7920499,216374,8136873,7183907,171659,7012247
1997/08,7719965,170895,7890860,6944443,163572,6780871
1997/09,8605509,180311,8785820,7780171,122752,7657420
1997/10,8851374,164919,9016294,8051287,198992,7852295
1997/11,8126413,178189,8304602,7540595,182490,7358105
1997/12,8501026,158369,8659395,8033708,196456,7837252
1998/01,7255735,96945,7352680,6855269,145030,6710239
1998/02,7735103,101515,7836618,7460339,174497,7285841
1998/03,9266815,150378,9417192,8550035,212562,8337472
1998/04,8474008,170398,8644405,7647001,207607,7439393
1998/05,8589674,130613,8720288,7650271,144764,7505507
1998/06,9114797,134236,9249033,8315964,214789,8101175
1998/07,7949376,116300,8065675,7396682,178903,7217779
1998/08,8121124,129219,8250344,7569242,158771,7410471
1998/09,9145465,106992,9252457,8417472,161670,8255801
1998/10,9113874,134265,9248138,8422494,206790,8215704
1998/11,9107714,116113,9223827,8636658,220944,8415713
1998/12,9128086,132313,9260400,8627160,263882,8363277
1999/01,7525118,119257,7644375,6914733,188013,6726720
1999/02,8450593,137732,8588324,7655306,212387,7442919
1999/03,10113096,185737,10298834,9224935,248305,8976630
1999/04,9368483,182914,9551397,8283543,171526,8112017
1999/05,9694116,196566,9890682,8816253,204732,8611520
1999/06,10604690,170932,10775621,9544466,214583,9329883
1999/07,9681614,227792,9909406,8491365,222878,8268487
1999/08,10995170,191825,11186996,9721508,265251,9456257
1999/09,10624652,215594,10840246,9363099,252547,9110552
1999/10,10799462,280682,11080145,9747374,318206,9429168
1999/11,11601354,208289,11809643,10560537,315209,10245328
1999/12,10803665,193861,10997526,9893084,335250,9557834
2000/01,9993284,189355,10182638,8763214,308575,8454639
2000/02,11727542,219413,11946955,10526689,272604,10254085
2000/03,11927372,329655,12257026,10701982,352002,10349979
2000/04,10872159,302215,11174374,9774032,275219,9498813
2000/05,13111124,284305,13395429,11594607,317466,11277141
2000/06,12400969,308602,12709571,11120636,389968,10730668
2000/07,11905656,299156,12204812,10426266,336357,10089910
2000/08,13589667,265457,13855123,12116169,356539,11759630
2000/09,12472017,306792,12778810,11006594,326535,10680060
2000/10,14410972,294490,14705463,12600040,340914,12259126
2000/11,12897593,291106,13188699,11792712,357027,11435685
2000/12,12091573,249468,12341041,11128053,383360,10744693
2001/01,11442225,219144,11661369,10283012,273072,10009940
2001/02,11123980,224174,11348153,9652977,295043,9357934
2001/03,12561573,281445,12843017,11166863,330569,10836294
2001/04,11850905,241934,12092839,10509853,283828,10226025
2001/05,12394731,294727,12689459,10629447,366382,10263065
2001/06,11875475,255370,12130845,9732903,363417,9369486
2001/07,11401888,249958,11651846,9030899,354251,8676648
2001/08,11849229,325924,12175152,9424710,463366,8961345
